#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.99380  0.00230  0.90989  0.007632  0.004586  0.001124     1.664
   0.01056  0.98332  0.00354  0.91599  0.007386  0.004468  0.001168     1.653
   0.02397  0.97002  0.00532  0.93101  0.006783  0.004202  0.001307     1.614
   0.03865  0.95549  0.00742  0.95154  0.006063  0.003874  0.001511     1.565
   0.05360  0.94067  0.00939  0.96654  0.005614  0.003652  0.001654     1.537
   0.06778  0.92660  0.01112  0.97584  0.005366  0.003519  0.001734     1.525
   0.08151  0.91297  0.01275  0.98257  0.005200  0.003422  0.001784     1.520
   0.09607  0.89853  0.01459  0.99478  0.004902  0.003263  0.001902     1.502
   0.11136  0.88335  0.01654  1.00676  0.004632  0.003115  0.002017     1.487
   0.12628  0.86856  0.01843  1.01997  0.004354  0.002962  0.002153     1.470
   0.14077  0.85418  0.02015  1.02891  0.004179  0.002859  0.002237     1.462
   0.15629  0.83875  0.02186  1.03348  0.004094  0.002799  0.002263     1.463
   0.17277  0.82237  0.02369  1.04268  0.003926  0.002697  0.002348     1.456
   0.18917  0.80606  0.02542  1.04545  0.003878  0.002655  0.002347     1.461
   0.20599  0.78934  0.02729  1.05546  0.003706  0.002551  0.002443     1.453
   0.22303  0.77241  0.02919  1.06466  0.003555  0.002457  0.002530     1.447
   0.23938  0.75616  0.03102  1.07674  0.003368  0.002345  0.002661     1.436
   0.25422  0.74140  0.03256  1.08165  0.003292  0.002292  0.002697     1.436
   0.26834  0.72736  0.03404  1.09060  0.003162  0.002212  0.002793     1.429
   0.28273  0.71304  0.03545  1.09738  0.003065  0.002149  0.002858     1.426
   0.29690  0.69892  0.03670  1.09423  0.003100  0.002153  0.002778     1.439
   0.31103  0.68486  0.03806  1.10617  0.002940  0.002058  0.002919     1.428
   0.32498  0.67096  0.03928  1.10387  0.002962  0.002056  0.002848     1.440
   0.33908  0.65693  0.04064  1.11709  0.002795  0.001958  0.003010     1.428
   0.35320  0.64286  0.04189  1.11821  0.002774  0.001934  0.002990     1.434
   0.36770  0.62843  0.04323  1.12760  0.002660  0.001862  0.003095     1.428
   0.38284  0.61335  0.04462  1.14093  0.002509  0.001770  0.003264     1.417
   0.39900  0.59724  0.04592  1.14228  0.002482  0.001743  0.003243     1.424
   0.41527  0.58103  0.04722  1.15033  0.002390  0.001682  0.003327     1.422
   0.43050  0.56584  0.04839  1.15737  0.002312  0.001628  0.003399     1.420
   0.44519  0.55118  0.04943  1.16034  0.002272  0.001595  0.003406     1.425
   0.46040  0.53601  0.05050  1.16913  0.002182  0.001535  0.003506     1.421
   0.47646  0.51999  0.05152  1.16948  0.002165  0.001513  0.003460     1.431
   0.49253  0.50396  0.05258  1.17712  0.002088  0.001460  0.003534     1.431
   0.50838  0.48814  0.05366  1.18894  0.001980  0.001390  0.003683     1.424
   0.52401  0.47254  0.05467  1.20092  0.001875  0.001323  0.003842     1.417
   0.53873  0.45784  0.05550  1.20842  0.001807  0.001276  0.003929     1.416
   0.55386  0.44274  0.05625  1.21168  0.001768  0.001244  0.003937     1.421
   0.56932  0.42729  0.05700  1.22345  0.001674  0.001183  0.004100     1.415
   0.58421  0.41241  0.05760  1.22973  0.001618  0.001142  0.004166     1.416
   0.59960  0.39703  0.05810  1.23016  0.001598  0.001120  0.004115     1.427
   0.61486  0.38178  0.05859  1.24087  0.001518  0.001066  0.004255     1.424
   0.62936  0.36728  0.05896  1.24377  0.001486  0.001038  0.004246     1.431
   0.64321  0.35344  0.05929  1.25009  0.001436  0.001001  0.004301     1.434
   0.65677  0.33988  0.05962  1.26324  0.001353  0.000947  0.004495     1.428
   0.67091  0.32575  0.05989  1.27202  0.001293  0.000905  0.004606     1.428
   0.68522  0.31144  0.06010  1.28528  0.001214  0.000854  0.004814     1.422
   0.69910  0.29755  0.06022  1.30320  0.001118  0.000794  0.005143     1.409
   0.71294  0.28372  0.06010  1.30536  0.001088  0.000769  0.005143     1.415
   0.72687  0.26979  0.05983  1.30673  0.001062  0.000745  0.005109     1.425
   0.74120  0.25547  0.05947  1.31198  0.001022  0.000714  0.005142     1.432
   0.75619  0.24048  0.05902  1.32339  0.000961  0.000670  0.005301     1.433
   0.77242  0.22426  0.05837  1.32465  0.000935  0.000644  0.005197     1.452
   0.78909  0.20761  0.05770  1.34742  0.000842  0.000583  0.005582     1.444
   0.80500  0.19172  0.05690  1.36240  0.000776  0.000537  0.005812     1.445
   0.82029  0.17646  0.05600  1.39172  0.000677  0.000475  0.006468     1.424
   0.83451  0.16228  0.05484  1.40280  0.000624  0.000439  0.006725     1.423
   0.84813  0.14873  0.05345  1.41644  0.000569  0.000401  0.007081     1.418
   0.86087  0.13609  0.05185  1.40482  0.000566  0.000390  0.006673     1.449
   0.87326  0.12381  0.05021  1.41758  0.000522  0.000358  0.006843     1.459
   0.88567  0.11153  0.04843  1.42236  0.000496  0.000333  0.006674     1.490
   0.89781  0.09953  0.04663  1.45002  0.000436  0.000292  0.007111     1.496
   0.91009  0.08741  0.04464  1.48260  0.000373  0.000249  0.007756     1.495
   0.92251  0.07520  0.04234  1.52896  0.000296  0.000202  0.009229     1.462
   0.93462  0.06341  0.03957  1.56390  0.000228  0.000162  0.011256     1.409
   0.94601  0.05250  0.03631  1.54491  0.000197  0.000141  0.011799     1.395
   0.95619  0.04287  0.03301  1.54063  0.000176  0.000118  0.010814     1.482
   0.96506  0.03458  0.02984  1.51391  0.000236  0.000113  0.003894     2.095
   0.97255  0.02759  0.02716  1.66677  0.000412  0.000061 -0.000595     6.739
   0.97877  0.02187  0.02470  1.69365  0.000292  0.000054 -0.000727     5.369
   0.98407  0.01714  0.02233  1.73584  0.000161  0.000047  0.000851     3.459
   0.98862  0.01325  0.01996  1.79606  0.000095  0.000037  0.007112     2.574
   0.99264  0.01009  0.01748  1.78743  0.000072  0.000032  0.012548     2.284
   0.99626  0.00754  0.01492  1.70007  0.000068  0.000031  0.013343     2.227
   0.99957  0.00543  0.01237  1.60938  0.000073  0.000031  0.010136     2.383
   1.00261  0.00365  0.00990  1.56701  0.000069  0.000028  0.009842     2.446
   1.00540  0.00220  0.00752  1.52907  0.000059  0.000025  0.011966     2.384
   1.00796  0.00112  0.00520  1.46216  0.000051  0.000022  0.013607     2.345
   1.01031  0.00039  0.00296  1.37123  0.000046  0.000020  0.014320     2.346
   1.01248  0.00004  0.00082  1.24924  0.000039  0.000017  0.016144     2.280
   1.01453  0.00006 -0.00123  1.06454  0.000036  0.000016  0.015756     2.216
   1.01658  0.00042 -0.00325  0.84323  0.000038  0.000017  0.012160     2.208
   1.01876  0.00112 -0.00531  0.62568  0.000040  0.000018  0.008490     2.197
   1.02116  0.00216 -0.00747  0.42505  0.000045  0.000020  0.005103     2.216
   1.02387  0.00357 -0.00979  0.24303  0.000049  0.000022  0.002682     2.212
   1.02695  0.00537 -0.01229  0.07807  0.000056  0.000025  0.000747     2.230
   1.03032  0.00751 -0.01490 -0.07458  0.000056  0.000025  0.000713     2.230
   1.03395  0.01007 -0.01747 -0.22480  0.000060  0.000027  0.001994     2.240
   1.03796  0.01322 -0.01994 -0.35741  0.000067  0.000029  0.002788     2.259
   1.04252  0.01712 -0.02232 -0.45522  0.000081  0.000035  0.002779     2.312
   1.04781  0.02185 -0.02469 -0.52872  0.000095  0.000041  0.002780     2.305
   1.05404  0.02757 -0.02716 -0.59119  0.000109  0.000047  0.002660     2.321
   1.06153  0.03456 -0.02984 -0.63234  0.000134  0.000056  0.002144     2.399
   1.07041  0.04286 -0.03300 -0.70941  0.000120  0.000055  0.003288     2.180
   1.08060  0.05249 -0.03631 -0.77393  0.000143  0.000061  0.002570     2.354
   1.09198  0.06340 -0.03957 -0.84024  0.000143  0.000063  0.003069     2.253
   1.10409  0.07519 -0.04234 -0.87196  0.000180  0.000073  0.002073     2.455
   1.11652  0.08741 -0.04464 -0.88439  0.000208  0.000084  0.001778     2.479
   1.12880  0.09952 -0.04663 -0.89676  0.000225  0.000092  0.001723     2.446
   1.14094  0.11153 -0.04843 -0.90658  0.000245  0.000100  0.001586     2.456
   1.15335  0.12381 -0.05021 -0.92742  0.000239  0.000102  0.001865     2.339
   1.16574  0.13609 -0.05185 -0.94112  0.000258  0.000108  0.001669     2.389
   1.17848  0.14873 -0.05345 -0.96947  0.000243  0.000107  0.002064     2.263
   1.19210  0.16228 -0.05484 -0.98044  0.000276  0.000115  0.001609     2.401
   1.20632  0.17646 -0.05600 -0.99059  0.000293  0.000121  0.001504     2.419
   1.22161  0.19172 -0.05690 -0.98713  0.000344  0.000133  0.001064     2.588
   1.23752  0.20761 -0.05770 -0.99123  0.000350  0.000139  0.001143     2.512
   1.25419  0.22426 -0.05837 -0.98927  0.000387  0.000150  0.000954     2.584
   1.27042  0.24048 -0.05902 -1.00111  0.000362  0.000151  0.001245     2.406
   1.28541  0.25547 -0.05947 -1.00430  0.000386  0.000157  0.001113     2.457
   1.29974  0.26978 -0.05983 -1.01038  0.000391  0.000161  0.001136     2.431
   1.31367  0.28371 -0.06010 -1.01904  0.000388  0.000163  0.001212     2.383
   1.32751  0.29755 -0.06022 -1.02655  0.000393  0.000166  0.001216     2.374
   1.34139  0.31144 -0.06010 -1.02138  0.000448  0.000176  0.000889     2.544
   1.35570  0.32575 -0.05989 -1.01839  0.000482  0.000184  0.000763     2.613
   1.36984  0.33988 -0.05962 -1.01851  0.000491  0.000190  0.000769     2.589
   1.38340  0.35343 -0.05929 -1.01482  0.000525  0.000197  0.000659     2.660
   1.39725  0.36728 -0.05896 -1.01566  0.000524  0.000201  0.000708     2.602
   1.41175  0.38178 -0.05859 -1.01969  0.000510  0.000203  0.000808     2.512
   1.42701  0.39703 -0.05810 -1.01778  0.000540  0.000210  0.000713     2.570
   1.44240  0.41241 -0.05760 -1.02389  0.000518  0.000210  0.000842     2.462
   1.45729  0.42729 -0.05700 -1.02508  0.000533  0.000215  0.000804     2.480
   1.47275  0.44273 -0.05625 -1.02146  0.000578  0.000224  0.000663     2.579
   1.48788  0.45784 -0.05550 -1.02418  0.000571  0.000226  0.000717     2.522
   1.50260  0.47254 -0.05467 -1.02342  0.000592  0.000232  0.000668     2.552
   1.51823  0.48814 -0.05366 -1.01889  0.000641  0.000241  0.000545     2.657
   1.53408  0.50395 -0.05258 -1.01426  0.000688  0.000250  0.000451     2.749
   1.55015  0.51998 -0.05152 -1.01247  0.000700  0.000256  0.000450     2.735
   1.56621  0.53601 -0.05051 -1.01668  0.000657  0.000255  0.000581     2.577
   1.58142  0.55118 -0.04943 -1.01407  0.000690  0.000262  0.000517     2.634
   1.59611  0.56584 -0.04839 -1.01598  0.000678  0.000264  0.000566     2.572
   1.61134  0.58102 -0.04722 -1.01451  0.000702  0.000270  0.000527     2.604
   1.62761  0.59724 -0.04592 -1.01234  0.000731  0.000276  0.000482     2.645
   1.64377  0.61335 -0.04462 -1.01568  0.000704  0.000276  0.000560     2.549
   1.65891  0.62843 -0.04323 -1.00868  0.000788  0.000289  0.000401     2.729
   1.67341  0.64286 -0.04189 -1.00459  0.000838  0.000297  0.000333     2.822
   1.68753  0.65693 -0.04064 -1.00653  0.000800  0.000297  0.000412     2.695
   1.70163  0.67096 -0.03928 -0.99970  0.000898  0.000309  0.000275     2.906
   1.71558  0.68486 -0.03806 -1.00417  0.000814  0.000305  0.000416     2.670
   1.72971  0.69892 -0.03670 -0.99810  0.000900  0.000316  0.000298     2.845
   1.74388  0.71304 -0.03545 -1.00394  0.000809  0.000310  0.000451     2.606
   1.75827  0.72735 -0.03404 -1.00216  0.000836  0.000316  0.000418     2.643
   1.77239  0.74140 -0.03256 -0.99809  0.000892  0.000325  0.000343     2.746
   1.78723  0.75616 -0.03102 -0.99752  0.000895  0.000328  0.000352     2.724
   1.80358  0.77241 -0.02919 -0.99161  0.000989  0.000340  0.000248     2.905
   1.82062  0.78934 -0.02729 -0.98808  0.001038  0.000349  0.000211     2.979
   1.83744  0.80606 -0.02542 -0.98424  0.001100  0.000357  0.000168     3.080
   1.85385  0.82237 -0.02369 -0.98532  0.001029  0.000357  0.000245     2.882
   1.87032  0.83875 -0.02186 -0.98251  0.001067  0.000364  0.000218     2.934
   1.88585  0.85417 -0.02015 -0.98352  0.001022  0.000364  0.000272     2.809
   1.90033  0.86855 -0.01843 -0.98129  0.001054  0.000370  0.000249     2.850
   1.91525  0.88335 -0.01654 -0.97686  0.001143  0.000380  0.000181     3.007
   1.93055  0.89853 -0.01459 -0.97098  0.001127  0.000393  0.000291     2.866
   1.94510  0.91297 -0.01275 -0.95040  0.000973  0.000438  0.000899     2.220
   1.95883  0.92660 -0.01112 -0.94683  0.000805  0.000455  0.001900     1.769
   1.97301  0.94067 -0.00939 -0.94702  0.000740  0.000473  0.002652     1.565
   1.98796  0.95549 -0.00742 -0.93895  0.000758  0.000511  0.002928     1.484
   2.00264  0.97002 -0.00532 -0.91394  0.000867  0.000587  0.002705     1.479
   2.01606  0.98332 -0.00354 -0.89640  0.000957  0.000650  0.002561     1.474
   2.02661  0.99380 -0.00230 -0.90989  0.000902  0.000634  0.002888     1.422
