#      x          Cp  
     0.99380    0.82237
     0.98333    0.80356
     0.97005    0.80132
     0.95555    0.75351
     0.94075    0.41072
     0.92669    0.33732
     0.91308    0.29358
     0.89867    0.20108
     0.88352    0.15622
     0.86873    0.09540
     0.85438    0.06210
     0.83899    0.04303
     0.82264    0.00886
     0.80634    0.00705
     0.78965   -0.04075
     0.77273   -0.05745
     0.75648   -0.10540
     0.74171   -0.11272
     0.72768   -0.15200
     0.71339   -0.17209
     0.69928   -0.14758
     0.68524   -0.19965
     0.67137   -0.17775
     0.65736   -0.24372
     0.64332   -0.21979
     0.62891   -0.26288
     0.61389   -0.30946
     0.59783   -0.30335
     0.58161   -0.33274
     0.56640   -0.35102
     0.55177   -0.36619
     0.53664   -0.38838
     0.52067   -0.39439
     0.50463   -0.40932
     0.48885   -0.45433
     0.47322   -0.48991
     0.45853   -0.52020
     0.44348   -0.51954
     0.42804   -0.56889
     0.41317   -0.58368
     0.39784   -0.59054
     0.38257   -0.62498
     0.36807   -0.62957
     0.35420   -0.65929
     0.34068   -0.69801
     0.32661   -0.72924
     0.31230   -0.77811
     0.29842   -0.84029
     0.28460   -0.84764
     0.27070   -0.85825
     0.25645   -0.88075
     0.24153   -0.92783
     0.22542   -0.92916
     0.20877   -1.00592
     0.19285   -1.07518
     0.17753   -1.17503
     0.16332   -1.24325
     0.14974   -1.30086
     0.13706   -1.27004
     0.12479   -1.34030
     0.11253   -1.34498
     0.10054   -1.46375
     0.08846   -1.61822
     0.07628   -1.82101
     0.06445   -2.03413
     0.05349   -2.00395
     0.04375   -2.09827
     0.03537   -1.99837
     0.02827   -2.39667
     0.02244   -2.79109
     0.01763   -3.22545
     0.01366   -3.75833
     0.01042   -3.94884
     0.00781   -3.70031
     0.00567   -3.76478
     0.00385   -2.79230
     0.00236  -25.41056
     0.00123   -9.76825
     0.00047  -10.95179
     0.00006  -52.01704
     0.00003   -4.08253
     0.00036   -3.54197
     0.00101   -1.62102
     0.00201   -0.64398
     0.00336    0.02402
     0.00510    0.44798
     0.00719    0.70457
     0.00967    0.87394
     0.01270    0.97051
     0.01646    0.99984
     0.02103    0.98689
     0.02655    0.95001
     0.03328    0.90594
     0.04132    0.83916
     0.05066    0.75558
     0.06134    0.66517
     0.07295    0.59111
     0.08510    0.54994
     0.09723    0.50829
     0.10919    0.47684
     0.12143    0.44199
     0.13367    0.39713
     0.14616    0.34617
     0.15951    0.31935
     0.17353    0.27509
     0.18853    0.28464
     0.20429    0.25065
     0.22081    0.25345
     0.23723    0.22199
     0.25238    0.21278
     0.26684    0.19158
     0.28078    0.15737
     0.29460    0.14609
     0.30845    0.16127
     0.32262    0.14734
     0.33688    0.14428
     0.35048    0.15186
     0.36416    0.13144
     0.37853    0.14082
     0.39356    0.12738
     0.40902    0.11215
     0.42390    0.10618
     0.43920    0.11390
     0.45448    0.09591
     0.46911    0.09547
     0.48446    0.10696
     0.50032    0.10318
     0.51619    0.12150
     0.53235    0.09257
     0.54765    0.10546
     0.56242    0.10050
     0.57737    0.08566
     0.59351    0.10052
     0.60999    0.07273
     0.62577    0.10961
     0.64123    0.09427
     0.65705    0.11666
     0.67297    0.09878
     0.68911    0.11319
     0.70445    0.08584
     0.71959    0.10810
     0.73511    0.08145
     0.75108    0.11273
     0.76695    0.08883
     0.78226    0.12694
     0.79710    0.13297
     0.81147    0.12517
     0.82582    0.12580
     0.83969    0.13866
     0.85373    0.15198
     0.86829    0.14364
     0.88356    0.22591
     0.89921    0.25103
     0.91421    0.33258
     0.92888    0.38958
     0.94365    0.50896
     0.95764    0.78593
     0.97078    0.85681
     0.98343    0.82263
     0.99380    0.82237
