#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.98750  0.00400  0.91357  0.007129  0.002842  0.000388     2.508
   0.00546  0.98224  0.00546  0.91825  0.006843  0.002777  0.000427     2.465
   0.01271  0.97531  0.00760  0.92787  0.006197  0.002650  0.000556     2.338
   0.02120  0.96728  0.01036  0.94510  0.005257  0.002448  0.000823     2.148
   0.03099  0.95809  0.01373  0.97673  0.004088  0.002139  0.001365     1.912
   0.04183  0.94787  0.01736  1.02336  0.003038  0.001782  0.002223     1.705
   0.05359  0.93665  0.02088  1.06769  0.002397  0.001513  0.003085     1.584
   0.06597  0.92473  0.02419  1.11123  0.001939  0.001297  0.004019     1.495
   0.07889  0.91214  0.02710  1.13051  0.001757  0.001200  0.004467     1.464
   0.09215  0.89915  0.02978  1.16063  0.001517  0.001073  0.005255     1.414
   0.10563  0.88585  0.03197  1.16542  0.001444  0.001031  0.005485     1.400
   0.11930  0.87231  0.03385  1.17826  0.001325  0.000966  0.005977     1.372
   0.13307  0.85861  0.03525  1.17182  0.001301  0.000954  0.006017     1.365
   0.14717  0.84455  0.03629  1.15677  0.001319  0.000965  0.005837     1.368
   0.16148  0.83027  0.03707  1.14154  0.001341  0.000977  0.005638     1.373
   0.17594  0.81581  0.03769  1.12758  0.001359  0.000986  0.005455     1.378
   0.19033  0.80143  0.03816  1.10593  0.001429  0.001022  0.005045     1.399
   0.20471  0.78707  0.03872  1.10537  0.001384  0.000994  0.005140     1.392
   0.21921  0.77257  0.03920  1.08925  0.001430  0.001014  0.004838     1.410
   0.23404  0.75776  0.03980  1.09001  0.001378  0.000981  0.004938     1.404
   0.24913  0.74267  0.04040  1.08552  0.001355  0.000963  0.004913     1.407
   0.26436  0.72746  0.04101  1.08206  0.001327  0.000942  0.004905     1.409
   0.27960  0.71223  0.04162  1.07833  0.001301  0.000921  0.004881     1.412
   0.29477  0.69707  0.04223  1.07303  0.001286  0.000905  0.004797     1.421
   0.30979  0.68207  0.04286  1.06542  0.001289  0.000896  0.004615     1.439
   0.32473  0.66715  0.04365  1.07038  0.001225  0.000851  0.004725     1.439
   0.33966  0.65224  0.04449  1.06976  0.001195  0.000822  0.004663     1.453
   0.35461  0.63732  0.04544  1.07755  0.001125  0.000772  0.004784     1.458
   0.36962  0.62234  0.04639  1.08084  0.001084  0.000733  0.004725     1.478
   0.38451  0.60748  0.04736  1.08843  0.001032  0.000686  0.004679     1.505
   0.39917  0.59285  0.04822  1.08514  0.001055  0.000666  0.004118     1.584
   0.41374  0.57830  0.04912  1.09183  0.001066  0.000628  0.003521     1.697
   0.42848  0.56359  0.04996  1.09427  0.001177  0.000605  0.002369     1.946
