#      x          Cp  
     0.98750    0.13178
     0.98058    0.12173
     0.97159    0.09592
     0.96132    0.04746
     0.94994   -0.02604
     0.93781   -0.11053
     0.92504   -0.18144
     0.91168   -0.23866
     0.89794   -0.29269
     0.88407   -0.33654
     0.86990   -0.35163
     0.85546   -0.35477
     0.84067   -0.34772
     0.82558   -0.32852
     0.81022   -0.31420
     0.79476   -0.30260
     0.77929   -0.30468
     0.76382   -0.29661
     0.74845   -0.28308
     0.73322   -0.28295
     0.71773   -0.25109
     0.70202   -0.24930
     0.68624   -0.22389
     0.67044   -0.20747
     0.65459   -0.20879
     0.63884   -0.19581
     0.62335   -0.20127
     0.60806   -0.22288
     0.59290   -0.20985
     0.57821   -0.24213
     0.56375   -0.22584
     0.54913   -0.24741
     0.53418   -0.24603
     0.51900   -0.25325
     0.50361   -0.25820
     0.48811   -0.26357
     0.47251   -0.25863
     0.45690   -0.24702
     0.44135   -0.23037
     0.42591   -0.19642
     0.41063   -0.17488
     0.39544   -0.13302
     0.38014   -0.10946
     0.36491   -0.07196
     0.34982   -0.05757
     0.33476   -0.05211
     0.31973   -0.06332
     0.30464   -0.06264
     0.28966   -0.08994
     0.27439   -0.11364
     0.25937   -0.13180
     0.24420   -0.19263
     0.22895   -0.24689
     0.21382   -0.35481
     0.19899   -0.63644
     0.18454   -0.84346
     0.17071   -0.85502
     0.15745   -0.88416
     0.14434   -0.94105
     0.13174   -1.03297
     0.11939   -1.03973
     0.10716   -1.06521
     0.09548   -1.09247
     0.08431   -1.05274
     0.07366   -0.99513
     0.06366   -0.87892
     0.05424   -0.65107
     0.04534   -0.44169
     0.03719   -0.29030
     0.02999   -0.19410
     0.02385   -0.15616
     0.01875   -0.13958
     0.01451   -0.08350
     0.01093    0.01607
     0.00793    0.15194
     0.00547    0.31238
     0.00353    0.48789
     0.00205    0.66065
     0.00098    0.81223
     0.00029    0.92731
    -0.00000    0.99285
     0.00011    0.98826
     0.00058    0.91771
     0.00139    0.79948
     0.00253    0.65403
     0.00401    0.49399
     0.00589    0.32616
     0.00823    0.15425
     0.01111   -0.01939
     0.01463   -0.17346
     0.01882   -0.24908
     0.02370   -0.23866
     0.02935   -0.21722
     0.03595   -0.22589
     0.04367   -0.25872
     0.05248   -0.29957
     0.06239   -0.30775
     0.07353   -0.26320
     0.08586   -0.20871
     0.09910   -0.15670
     0.11304   -0.11804
     0.12749   -0.10507
     0.14235   -0.14148
     0.15746   -0.19581
     0.17259   -0.23550
     0.18796   -0.26023
     0.20337   -0.29223
     0.21861   -0.32231
     0.23384   -0.34673
     0.24884   -0.37419
     0.26365   -0.40249
     0.27829   -0.40107
     0.29306   -0.38645
     0.30782   -0.36565
     0.32279   -0.33442
     0.33799   -0.30727
     0.35344   -0.28792
     0.36901   -0.27139
     0.38472   -0.18887
     0.40037   -0.11192
     0.41570   -0.09010
     0.43081   -0.06416
     0.44602   -0.05670
     0.46150   -0.02718
     0.47700    0.00017
     0.49252    0.01222
     0.50803    0.03617
     0.52359    0.03752
     0.53919    0.05532
     0.55479    0.05796
     0.57045    0.06412
     0.58612    0.06498
     0.60191    0.06972
     0.61757    0.08299
     0.63309    0.08662
     0.64839    0.07790
     0.66344    0.08818
     0.67851    0.06805
     0.69379    0.05998
     0.70934    0.03964
     0.72496    0.01645
     0.74055    0.00412
     0.75609   -0.00825
     0.77148   -0.00470
     0.78688   -0.00146
     0.80224    0.02199
     0.81769    0.03880
     0.83296    0.06780
     0.84829    0.10649
     0.86350    0.15422
     0.87839    0.19768
     0.89289    0.22758
     0.90682    0.25128
     0.92036    0.25482
     0.93371    0.24823
     0.94672    0.22506
     0.95918    0.19438
     0.97045    0.17405
     0.98024    0.16192
     0.98750    0.13178
